[fada-collect] scenario=walk profile=steady_state mode=intermediate_oracle progress=100.0% windows=6553/6553 env_steps=137 acceptance=74.74% rejected(done=0 command=0 scenario=0)
[fada-train] stage=alternating_idm_then_planner iteration=3/8 windows=196608 env_steps=5976 replay=524286 samples_seen=589824 idm(loss=0.000410 grad=0.043330 updates=2886) planner(loss=0.012090 grad=0.091927 updates=401) coverage(planner_high=6158/123 idm_main_high=6158/41 idm_intermediate_high=73934/205 required_updates=2886/401 configured_updates=128/128 actual_updates=2886/401) collect_s=579.18 rejected(done=2248 command=5484 scenario=14540) checkpoint=/ssd1/cyx/ICE-Cal/logs/fada/planner_idm_close_some_dr_v001.pt
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=0.0% windows=0/1920 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=10.0% windows=192/1920 env_steps=3 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=20.0% windows=384/1920 env_steps=6 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=30.0% windows=576/1920 env_steps=9 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=40.0% windows=768/1920 env_steps=12 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=50.0% windows=960/1920 env_steps=15 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=60.0% windows=1152/1920 env_steps=18 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=70.0% windows=1344/1920 env_steps=21 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=80.0% windows=1536/1920 env_steps=24 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=90.0% windows=1728/1920 env_steps=27 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=100.0% windows=1920/1920 env_steps=29 acceptance=103.45% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=0.0% windows=0/1920 env_steps=0 acceptance=0.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=10.0% windows=192/1920 env_steps=3 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=20.0% windows=384/1920 env_steps=6 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=30.0% windows=576/1920 env_steps=9 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=40.0% windows=768/1920 env_steps=12 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=50.0% windows=960/1920 env_steps=15 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=60.0% windows=1152/1920 env_steps=18 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=70.0% windows=1344/1920 env_steps=21 acceptance=100.00% rejected(done=0 command=0 scenario=0)
[fada-collect] scenario=walk profile=cold_start mode=planner_idm progress=80.0% windows=1536/1920 env_steps=24 acceptance=100.00% rejected(done=0 command=0 scenario=0)
